Organismgrupp,TaxonId,Vetenskapligt namn (vid riskklassificeringens genomförande),Auktor,Svenskt namn,Artens status,Ursprunglig utbredning,"Riskkategori, utfall enligt GEIAA metodik",Utslagsgivande kriterier,Summering,Invasionspotential,Ekologisk effekt,Effekt av klimatförändring på invasionspotential,Effekt av klimatförändring på ekologisk effekt,"Klimatförändring, betydelse",Livsmiljö,Referenser
Övriga organismer,6011965,Meloidogyne fallax,"Karssen, 1996",,Dörrknackare,"Kosmopolitisk rotgallnematod med ett extremt brett spektrum möjliga värdväxter med förekomster i Sydamerika, Sydafrika, Europa, Indonesien, Australien och Nya Zeeland . Ursprungsområdet okänt, möjligtvis Nya Zeeland (EPPO 2020). Påträffades i Sverige först 2018.",LO,"1,2D","Meloidogyne fallax är en rotgallnematod som angriper växtrötter på ett extremt brett spektrum potentiella värdväxter (Ferris m.fl. 1993; Björklund & Boberg 2019). Den är nära släkt med M. chitwoodi och har liknande levnadssätt, ekologisk effekt och invasionspotential (Björklund & Boberg 2019). Arten betraktas som ett allvarligt problem i åkerbruket då den orsakar minskad tillväxt och ökad sårbarhet för sjukdomar eller torka, och associeras i Sverige framför allt med potatisodling (EPPO 2020; Björklund & Boberg 2019). Arten övervintrar som ägg på värdväxten eller som juvenil i jorden. Juveniler blir aktiva under våren och migrerar till värdväxten där de bildar gallar på rötterna. De blir adulter efter tre hudömsningar men stannar oftast kvar i gallarna där honorna lägger ägg nära gallytan. Reproduktion är oftast partenogenetisk. Eventuella hanar rör sig fritt genom jorden, men sexuell reproduktion sker relativt sällan. Ägg och juveniler har stor överlevnadsförmåga under brist på värdväxter eller frost och kan leva i jorden i flera år (Wesemael m.fl. 2011; EPPO 2020).",Arten har bara en begränsad invasionspotential då den kontrolleras relativt noggrant i åkerbruket (arten är reglerad som en karantänskadegörare inom EU) och sprids relativt långsamt i jorden. Större utbrott på åkerbruksmark i landets varmaste delar skulle kunna leda till spridning till naturen med t.ex. rinnande vatten.,"Arten utnyttjar ett stort antal kärlväxtarter och har en negativ effekt på värdväxtens tillväxt och resistens mot sjukdomar och torka (EPPO 2020). Den skulle alltså kunna påverka naturliga miljöer om den etableras utanför åkermark och får möjlighet att bilda stora populationer, och i så fall skulle arten vara mycket svår att bli av med. Värdväxterna skulle dock inte försvinna, och frågan är om arten faktiskt kan bilda lika stora populationer i naturliga miljöer utan monokulturer av odlingsväxter. Etablering utanför åkermark är hittills inte känd.",yes,yes,,Terrester,"Jordbruksverket (2019). Nya arter av rotgallnematoder har nyligen upptäckts i Sverige, Meloidogyne chitwoodi och meloidogyne fallax (Karantänskadegörare).
Wesemael, W., Viaene, N. & Moens, M. (2011). Root-knot nematodes (Meloidogyne spp.) in Europe. Nematology : international journal of fundamental and applied nematological research 13(1), 3–16.  https://doi.org/10.1163/138855410X526831
Björklund, N. & Boberg, J. (2019). Meloidogyne chitwoodi, M. fallax and M. hapla– susceptibility of plants relevant in Swedish cropping systems. Uppsala: SLU.
EPPO (2020). EPPO Datasheet: Meloidogyne fallax (EPPO datasheets on pests recommended for regulation). https://gd.eppo.int"
Övriga organismer,6011966,Meloidogyne naasi,"Franklin, 1965",,Dörrknackare,Kosmopolitisk rotgallnematod på spannmål och andra monokotyler. Ursprungsområdet okänt.,LO,"1,2D","Meloidogyne naasi är en rotgallnematod som angriper växtrötter på ett brett spektrum potentiella värdväxter, men framför allt Gramineae (Wesemael m.fl. 2011). Den är nära släkt med M. chitwoodi och har sannolikt liknande levnadssätt, ekologisk effekt och invasionspotential (Björklund & Boberg 2019), men tåler lägre temperaturer och är särskilt associerad med gräsarter. Arten övervintrar som ägg på värdväxten eller som juvenil i jorden. Juveniler blir aktiva under våren och migrerar till värdväxten där de bildar gallar på rötterna. De blir adulter efter tre hudömsningar men stannar oftast kvar i gallarna där honorna lägger ägg nära gallytan. Reproduktion är oftast partenogenetisk. Eventuella hanar rör sig fritt genom jorden, men sexuell reproduktion sker relativt sällan. Ägg och juveniler har stor överlevnadsförmåga under brist på värdväxter eller frost och kan leva i jorden i flera år (Wesemael m.fl. 2011).",Arten har bara en begränsad invasionspotential då den kontrolleras relativt noggrant i åkerbruket och sprids relativt långsamt i jorden. Större utbrott på åkerbruksmark skulle kunna leda till spridning till naturen med t.ex. rinnande vatten.,"Arten utnyttjar ett stort antal kärlväxtarter, framför allt gräsarter, och har en negativ effekt på värdväxtens tillväxt och resistens mot sjukdomar och torka (Wesemael m.fl. 2011). Den skulle alltså kunna påverka naturliga miljöer om den etableras utanför åkermark och får möjlighet att bilda stora populationer, och i så fall skulle arten vara mycket svår att bli av med. Värdväxterna skulle dock inte försvinna, och frågan är om arten faktiskt kan bilda lika stora populationer i naturliga miljöer utan monokulturer av odlingsväxter. Etablering utanför åkermark eller anlagda gräsmattor är hittills inte känd.",yes,yes,,Terrester,"Wesemael, W., Viaene, N. & Moens, M. (2011). Root-knot nematodes (Meloidogyne spp.) in Europe. Nematology : international journal of fundamental and applied nematological research 13(1), 3–16.  https://doi.org/10.1163/138855410X526831
Holgado, R., Overland, J.I. & Hammeraas, B. (2009). Ny rotgallnematode Meloidogyne naasi i Vestfold. Bioforsk FOKUS 4(2), 246–247."
Blötdjur,6011818,Menetus dilatatus,"(A.A.Gould, 1841)",,Dörrknackare,,LO,"3A,1","Menetus dilatatus är en nordamerikansk sötvattenssnäcka som har spridits till bl. a Västeuropa och Japan. Finns som närmast i Polen, Tyskland och Nederländerna. M. dilatatus är en liten skivsnäcka med bredd 2-3 mm och höjd upp till 1 mm.",Arten har lyckats etablera sig på många platser och är bevisligen en god kolonisatör.,Det finns inga uppgifter om negativa effekter men dessa kan också vara dåligt undersökta. Effekten beror sannolikt på vilka tätheter som finns i den enskilda populationen.,yes,yes,,Limnisk,"Glöer, P. (2019). The Freshwater Gastropods of the West-Palaearctis. Volume I. Fresh- and brackish waters except spring an subterranean snails. Hetlingen: Peter Glöer.
Son, M.O., Bondarenko, O. & Kvach, Y. (2023). New data on aquatic alien invertebrates in the Ukrainian Danube Delta with special emphasis on the first records of the trumpet ram’s-horn, Menetus dilatatus (Gould, 1841). Bioinvasions records 12(3), 787–795.  https://doi.org/10.3391/bir.2023.12.3.14
Kołodziejczyk, A. & Lewandowski, K. (2015). A new record of an alien species, Trumpet Ram’s-Horn, Menetus dilatatus (Gould, 1841) (Gastropoda: Planorbidae) in Poland. Folia malacologica 23(2), 169–172.  https://doi.org/10.12657/folmal.023.012"
Kärlväxter,221713,Mentha longifolia,(L.) Huds.,gråmynta,Främmande art,"Ursprung: södra Europa, Västasien, Nordvästra och Sydafrika samt Macaronesien (Madeira och Kanarieöarna). Enligt POWO (2024) inhemsk i nästan hela Eurasien och Afrika, inklusive Sverige. Detta stämmer sannolikt inte, den är troligen introducerad i en del av dessa länder.",LO,"3A,1",Gråmynta är en flerårig ört med naturligt utbredningsområde i östra Medelhavsområdet. Gråmynta odlas i trädgårdar som krydda och medicinalväxt.,"Arten bedöms ha relativt hög invasionspotential, främst på grund av den mediana livslängden. Arten förekommer endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. Spridning ut i naturliga miljöer verkar helt vara beroende av mänsklig aktivitet.",Hybridisering med inhemska arter är teoretiskt möjlig men det finns inga belägg för att så sker.,unknown,unknown,,Terrester,"POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]
Eriksen, B., Dahl, A., Neuendorf, M. & Tind, K. (2013). Nyttoväxter från hela världen J–Z. Warne förlag.
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]"
Kärlväxter,221709,Mentha × piperita,L.,pepparmynta,Främmande art,Arten har kulturursprung och antas ha uppstått i England under 1600-talet som en hybrid mellan gråmynta och vattenmynta.,PH,"4A,1",Pepparmynta är en flerårig ört som används medicinskt och odlas för att utvinna eteriska oljor. Arten har kulturursprung och antas ha uppstått i England under 1600-talet som en hybrid mellan grönmynta och vattenmynta.,Arten bedöms ha relativt hög invasionspotential. Arten förekommer endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. Spridning ut i naturliga miljöer är helt beroende av mänsklig aktivitet.,Ingen känd eller förväntad ekologisk effekt i svensk natur. Hybridisering med inhemska arter är teoretiskt möjlig med det finns inga belägg för att så sker. ,yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]
Eriksen, B., Dahl, A., Neuendorf, M. & Tind, K. (2013). Nyttoväxter från hela världen J–Z. Warne förlag."
Kärlväxter,224286,Mentha × rotundifolia,(L.) Huds.,äppelmynta,Främmande art,"Ursprung: Arten är en korsning mellan gråmynta och rundmynta som uppstått i odling i Medelhavsområdet.
",PH,"4A,1",Äppelmynta är en flerårig ört som odlas i trädgårdar. Arten är en korsning mellan gråmynta och rundmynta som uppstått i odling i Medelhavsområdet.,Arten bedöms ha hög invasionspotential. Arten förekommer endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. Spridning ut i naturliga miljöer är helt beroende av mänsklig aktivitet.,Ingen känd eller förväntad ekologisk effekt i svensk natur. Hybridisering med inhemska arter är teoretiskt möjlig med det finns inga belägg för att så sker. ,yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]"
Kärlväxter,221715,Mentha spicata,L.,grönmynta,Främmande art,"Grönmynta är troligen ursprungligen från de södra delarna av Central- och Sydeuropa. Flera källor anger arten som inhemsk i Sverige (POWO 2024, Euro+Med 2024), vilket inte stämmer.",PH,"4A,1",Grönmynta är en flerårig ört från östra Medelhavsområdet. Grönmynta odlas i trädgårdar som krydda och medicinalväxt.,Arten bedöms ha hög invasionspotential. Arten förekommer endast i enstaka naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. Spridning ut i naturliga miljöer är helt beroende av mänsklig aktivitet.,Hybridisering med inhemska arter är teoretiskt möjlig med det finns inga belägg för att så sker. ,yes,yes,,Terrester,"Euro+Med (2024). Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. https://europlusmed.org/  [2024-10-11]
Löfgren, L. (2013). Närkes flora. Uppsala: SBF-förlaget.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]
Tyler, T., Johansson, H., Olsson, K.-A. & Sonesson, M. (2007). Floran i Skåne. Arterna och deras utbredning. Lund: Lunds botaniska förening."
Kärlväxter,1037,Mentha suaveolens,Ehrh.,rundmynta,Främmande art,"Ursprung: västra Medelhavsområdet, huvudsakligen Spanien, södra Frankrike och öar i västra Medelhavet.",LO,"3A,1","Rundmynta är en flerårig ört som naturligt förekommer i västra Medelhavsområdet, huvudsakligen Spanien, södra Frankrike och öar i västra Medelhavet. Ryndmynta odlas i trädgårdar och används som krydda och medicinalväxt.",Arten bedöms ha låg invasionspotential. Spridning ut i naturliga miljöer är helt beroende av mänsklig aktivitet. Arten förekommer endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. ,Ingen känd eller förväntad ekologisk effekt i svensk natur. Spridning ut i naturliga miljöer är helt beroende av mänsklig aktivitet.,yes,yes,,Terrester,"POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-16]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]"
Däggdjur,6011584,Mephitis mephitis,"(Schreber, 1776)",strimmig skunk,Dörrknackare,,NK,"1,1","Strimmig skunk Mephitis mephitis har ett utbredningsområde som spänner över större delen av Nordamerika. Genom större delen av södra Kanada från British Columbia, Hudson Bay och Nova Scotia, genom hela USA och in i norra Mexiko. Den finns i en mängd olika livsmiljöer inklusive skogsmarker, trädbevuxna raviner och grässlätter. Med tiden har de dock blivit mer framträdande i områden med extrem odling såväl som i förortsområden. Den strimmiga skunken är en opportunistisk omnivor som ändrar sin kost efter behov.",Strimmig skunk bör klara sig bra i naturen i södra Sverige om den väl kommer ut. Dess expansionshastighet ligger dock under 50 meter per år och dess mediana livslängd mellan 10 och 60 år vilket ger en låg invasionspotential.,Arten har ingen känd ekologisk effekt.,yes,yes,Antagligen kan den ha ett större utbredningsområde om det blir varmare.,Terrester,"Wilson, C. (2011). Mephitis mephitis - Striped skunk. GB Non-native Orgaism Risk Assessment Scheme. https://www.nonnativespecies.org/assets/Uploads/RA_Mephitis_mephitis_Striped_Skunk.pdf
Myers, P., Espinosa, R., Parr, C.S., Jones, T., Hammond, G.S. & Dewey, T.A. (2024). The Animal Diversity Web (online). https://animaldiversity.org.  [2024-12-29]
Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G.G., Visconti, P. & Rondinini, C. (2013). Generation length for mammals. Nature Conservation 5(5), 87–94.  https://doi.org/10.3897/natureconservation.5.5734
van der Kooij, J., Holand, Ø., Rolandsen, C.M. & Eldegard, K. (2023). Mammalia: Vurdering av stripeskunk Mephitis mephitis for Fastlands-Norge med havområder. (Fremmedartslista 2023.). Artsdatabanken. http://www.artsdatabanken.no/lister/fremmedartslista/2023/4951. "
Kärlväxter,220252,Mercurialis annua,L.,grenbingel,Främmande art,"Ursprung: Kanarieöarna, Azorerna, Madeira, Medelhavsområdet och Mellanöstern.",LO,"3A,1","Grenbingel är en ettårig ört från Kanarieöarna, Azorerna, Madeira, Medelhavsområdet och Mellanöstern.","Grenbingel bedöms ha måttlig invasionspotential, baserat på en hög överlevnad i kombination med en låg spridningshastighet. Arten förekommer i dag endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren.",Det finns ingen känd eller förväntad ekologisk effekt i svensk natur.,yes,yes,,Terrester,"Johansson, B.G., Petersson, J. & Ingmansson, G. (2016). Gotlands flora. Uppsala: SBF-förlaget.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
Lidberg, R. & Lindström, H. (2010). Medelpads flora. Uppsala: SBF-förlaget.
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]
Edqvist, M. & Karlsson, T. (2007). Smålands flora. Uppsala: SBT-förlaget.
Georgson, K., Johansson, B., Johansson, Y., Kuylenstierna, J., Lenfors, I. & Nilsson, N.-G. (1997). Hallands flora. Lund: SBF-förlaget."
Tvåvingar,200660,Merodon equestris,"(Fabricius, 1794)",bred narcissblomfluga,Främmande art,,LO,"3A,1","Bred narcissblomfluga är vanlig i trädgårdar, parker och växthusområden, men också i hagmarker och bryn med frodig örtvegetation. Larven utvecklas bl.a. i lökar av narcisser Narcissus spp., amaryllis Hippeastrum x hortorum och liljor Lilium spp. I trädgårdar lägger honan ägg på marken intill narcisslökar eller på bladrosetter. Larven tar sig ned till löken och äter sig genom rotskivan till lökens inre delar, som den äter allteftersom den växer. Nästa vår lämnar larven löken via rotskivan och tar sig uppåt till strax under markytan, där den förpuppas och till sist kläcks. Den angripna löken ruttnar oftast bort.",Arten lär sprida sig något när klimatet blir varmare och fler amaryllisväxter kan växa längre norrut.,"Artens larver angriper bland annat lökar av narcisser, amaryllis och liljor. Den angripna löken ruttnar oftast bort. De flesta av växterna är odlade men vissa inhemska arter kan angripas.",yes,yes,,Terrester,"Bartsch, H., Binkiewicz, E., Klintbjer, A., Rådén, A. & Nasibov, E. (2009). Nationalnyckeln till Sveriges flora och fauna. Tvåvingar: Blomflugor: Eristalinae & Microdontinae. Diptera: Syrphidae: Eristalinae & Microdontinae. Artdatabanken, SLU, Uppsala"
Övriga organismer,245057,Mesopsocus fuscifrons,"Meinander, 1966",svartpannad kalvingeslända,Främmande art,,LO,"3A,1","I Norden är svartpannad kalvinge­slända funnen trädgårdar och parker. I Medelhavsområdet lever arten på träd och buskar, gärna på torra löv av t.ex. ek, kastanj och hassel, men också på tall och gran.",Arten sprids både med transport av växter och på egen hand. Den överlever och övervintrar i svensk natur och kommer så småningom sannolikt spridas sig till hela landet. Spridningen sker förmodligen inte så snabbt då stövsländor generellt flyger ganska korta sträckor.,Den ekologiska effekten är till stor del okänd men arten kan sannolikt sprida svampsjukdomar mellan växter. Det har inte förekommit stora utbrott av arten utomhus. Den ekologiska effekten får betraktas som låg men osäker.,yes,yes,,Terrester,"Svensson, B.W. & Hall, K. (2010). Nationalnyckeln till Sveriges flora och fauna. Stövsländor. Psocoptera. (CV). Uppsala: ArtDatabanken, SLU.
LOCK, K., WALLYS, H., CLAEREBOUT, S. & SOORS, J. (2015). Faune de Belgique/Fauna van België. Bulletin de la Société royale belge d’Entomologie 151, 195–197."
Ringmaskar och planarier,6331803,Metaphire hilgendorfi,"(Michaelsen, 1892)",,Dörrknackare,,HI,"4A,2E","En stor daggmask av ostasiatiskt ursprung. Längd 7-16 cm. Har svårnedbrytbar avföring som kan förändra näringsbalans och markfauna där den etablerar sig, särskilt i Nordamerika (Chang m.fl. 2018). Benämns ""Crazy snake worm"" i USA p.g.a sin storlek och sitt aktiva rörelsesätt. Denna benämning delas med andra närbesläktade arter som har liknade ursprung och effekt: Amynthas agrestis och A. tokiensis. Dessa tre är svåra att särskilja och brukar riskbedömas gemensamt.","Arten kan introduceras med importerad jord. Kan troligtvis etablera sig i södra Sverige (Rabitsch 2024, ej publicerad riskanalys på uppdrag av EU-kommissionen). Har visat sig vara en god kolonisatör.","I Nordamerika, där arten är på stark spridning, är effekterna mycket stora och arten får betydande uppmärksamhet. Den bidrar till förändring av den naturliga markfaunan samt har en svårnedbrytbar avföring som förändrar näringscykeln i områden där den blir dominant (Chang m.fl. 2018). Man vet dock inte om effekterna i Europa är lika påtagliga eller om den kan bilda stora populationer här. Den naturliga markfaunan i Europa är också mycket olik den i Nordamerika.",yes,yes,,Terrester,"Chang, C.-H., Snyder, B.A. & Szlavecz, K. (2016). Asian pheretimoid earthworms in North America north of Mexico: An illustrated key to the genera Amynthas, Metaphire, Pithemera, and Polypheretima (Clitellata: Megascolecidae). Zootaxa 4179(3). https://doi.org/10.11646/zootaxa.4179.3.7
Chang, C.-H., Johnston, M.R., Görres, J.H., Dávalos, A., McHugh, D. & Szlavecz, K. (2018). Co-invasion of three Asian earthworms, Metaphire hilgendorfi, Amynthas agrestis and Amynthas tokioensis in the USA. Biological invasions 20(4), 843–848.  https://doi.org/10.1007/s10530-017-1607-x"
Övriga organismer,6330834,Metorchis bilis,"(Braun, 1790)",,Dörrknackare,Metorchis bilis förekommer i Europa och Asien. Den har påvisats i utter i Sverige.,PH,"4A,1","Metorchis bilis är en sugmask som har en komplex livscykel med 3 olika värdar. Första mellanvärd är en sötvattenslevande snäcka i familjen Bithyniidae och andra mellanvärd är karpfisk. Slutvärd är fiskätande däggdjur eller fågel som t.ex. utter, mink, storskarv, havsörn och människa. I slutvärden lever parasiten i gallsystemet.",Arten beräknas ha en relativt god invasionspotential om den kan fullfölja sin livscykel i Sverige då det finns goda förutsättningar när det gäller förekomst av både mellanvärdar och slutvärdar.,Arten har inte någon känd ekologisk effekt.,no,no,,"Limnisk, Terrester","Kiyan, V.S., Bulashev, A.K. & Katokhin, A.V. (2018). Opisthorchis felineus and Metorchis bilis metacercariae in cyprinid fish Leuciscus idus in Nura-Sarysu River, Kazakhstan. The Korean journal of parasitology 56(3), 267.  https://doi.org/10.3347/kjp.2018.56.3.267
Sherrard-Smith, E., Stanton, D.W., Cable, J., Orozco-terWengel, P., Simpson, V.R., Elmeros, M., van Dijk, J., Simonnet, F., Roos, A., Lemarchand, C., Poledník, L., Heneberg, P. & Chadwick, E.A. (2016). Distribution and molecular phylogeny of biliary trematodes (Opisthorchiidae) infecting native Lutra lutra and alien Neovison vison across Europe. Parasitology international 65(2), 163–170.  https://doi.org/10.1016/j.parint.2015.11.007
Sitko, J., Bizos, J., Sherrard-Smith, E., Stanton, D.W., Komorová, P. & Heneberg, P. (2016). Integrative taxonomy of European parasitic flatworms of the genus Metorchis Looss, 1899 (Trematoda: Opisthorchiidae). Parasitology International 65(3), 258–267.  https://doi.org/10.1016/j.parint.2016.01.011
Näreaho, A., Eriksson-Kallio, A.M., Heikkinen, P., Snellman, A., Sukura, A. & Koski, P. (2017). High prevalence of zoonotic trematodes in roach (Rutilus rutilus) in the Gulf of Finland. Acta Veterinaria Scandinavica 59, 1–4.  https://doi.org/10.1186/s13028-017-0343-7
Takeuchi-Storm, N., Al-Sabi, M.N.S., Chriel, M. & Enemark, H.L. (2021). Systematic examination of the cardiopulmonary, urogenital, muscular and gastrointestinal parasites of the Eurasian otters (Lutra lutra) in Denmark, a protected species recovering from a dramatic decline. Parasitology International 84, 102418.  https://doi.org/10.1016/j.parint.2021.102418"
Kärlväxter,220817,Meum athamanticum,Jacq.,björnrot,Främmande art,"Ursprung: bergstrakter i Väst-, Central- och Sydosteuropa.",PH,"4A,1","Björnrot är en flerårig ört från bergstrakter i Väst-, Central- och Sydosteuropa.","Björnrot bedöms ha en hög invasionspotential, även om spridning ut i naturliga miljöer är helt beroende av mänsklig aktivitet. Arten förekommer i dag endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. Om arten blir vanligare i odling igen kommer dock invasionspotentialen öka.",Björnrot har ingen känd eller förväntad ekologisk effekt i svensk miljö.,yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-10-07]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
Tyler, T., Johansson, H., Olsson, K.-A. & Sonesson, M. (2007). Floran i Skåne. Arterna och deras utbredning. Lund: Lunds botaniska förening.
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-10-07]
Jonsell, B. & Karlsson, T. (red.) (2012). Flora Nordica 6. Thymelaeaceae – Apiaceae. Stockholm: Naturhistoriska Riksmuseet.
Svenska Botaniska Föreningen (2024). Botanikportalen. https://botanikportalen.se/  [2024-11-11]"
Däggdjur,100080,Micromys minutus,"(Pallas, 1771)",dvärgmus,Främmande art,,PH,"4AB,1","Dvärgmus Micromys minutus är den minsta gnagararten i Europa och en av de minsta i världen. Dvärgmus förekommer i Europa med undantag av Island, Irland, norra Storbritannien och södra delen av medelhavsområdet. Den förekommer vidare österut genom Asien till Kina, Korea och Japan. I Danmark har utbredningsområdet expanderat under senare år. Den hittades på Själland första gången 1913. I Finland är dvärgmus känd upp till Torneo vid svenska gränsen. De första norska fynden gjordes 2001 nära gränsen till Sverige och mycket nära de värmländska fyndlokalerna. Dvärgmus förekommer främst i gräs- och buskmarker med ett någorlunda trätt och högt gräs- och örtskikt, och den finns ofta längs vattendrag och insjöar där det finns hög gräsvegetation. 


",Dvärgmusens expansionshastigheten är beräknad till 1100 meter per år och artens mediana livslängd ligger på över 650 år.,Dvärgmusen har ingen känd ekologisk effekt.,no,no,Arten verkar klara sig bra över hela landet redan 2024.,Terrester,"Danell, K. (2024). Däggdjurens nykomlingar. Möklinta: Gidlunds förlag.
van der Kooij, J., Holand, Ø., Rolandsen, C.M. & Eldegard, K. (2023). Mammalia: Vurdering av dvergmus Micromys minutus for Fastlands-Norge med havområder. Nedlastet 16.12.2024 (Fremmedartslista 2023.). Artsdatabanken. http://www.artsdatabanken.no/lister/fremmedartslista/2023/636.
SLU Artdatabanken (2024). Artfakta: dvärgmus (Micromys minutus).  [2024-12-16] (Artfakta). SLU Artdatabanken. https://artfakta.se/taxa/100080
Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G.G., Visconti, P. & Rondinini, C. (2013). Generation length for mammals. Nature Conservation 5(5), 87–94.  https://doi.org/10.3897/natureconservation.5.5734"
Fiskar,206082,Micropterus dolomieu,"Lacepède, 1802",svartabborre,Dörrknackare,"Östra USA, dock ej Atlantkusten.",HI,"3A,3D","Svartabborre är en medelstor nordamerikansk solabborrefisk (Centrarchidae). Arten föredrar relativt stora och klara mesotrofa sjöar, Den uppträder ofta vds branta bottnar och särskilt i närheten av större strukturer som stora block, klippor eller sjunkna stockar. Arten förekommer även i relativt stora vattendrag med klart vatten och stor andel lugnflytande sträckor. Vattendragsbotten bör utgöras av grovt grus eller sten och det måste finnas djupa höljor. I rinnande vatten är tillgång på skugga och skydd viktigt. För att arten ska kunna övervintra krävs tillgång på djuphålor med tillräckligt mycket skyddande strukturer. 
Leken inleds under sen vår när vattentemperaturen överstiger ~13 °C och fortsätter fram till vattentemperaturen nått ~20 °C. Leken sker strandnära, på ett djup av 0,6-1,8 m. Hanarna skapar ett tallriksformat bo, ca 50 cm i diameter och 5-10 cm djupt. Centralt i boet finns en samling stenar. Lekboet placeras i ett område med lugnt vatten och sandig, lerig, grusig eller stenig botten, som regel i närhet av skydd i form av stora stenblock, rötter eller sänkta trädstammar. Svartabborren är territoriell och hanarna återvänder ofta till samma boplats följande år. Hanarna vaktar boet och de nykläckta alrverna i upp till en månads tid. För att reproduktionen ska lyckas krävs en dygnmedeltemperatur under juli på minst 18 °C . 
Nykläckta exemplar lever på djurplankton, men går efterhand över till bottenfauna och stora exemplar är aktiva rovfiskar som äter fisk, kräftor och annan större bottenfauna.","Svartabborrren är förmodligen temperaturbegränsad i Sverige, men med predikterade klimatförändringar kan det inte uteslutas att arten kan komma att klara sig i landets sydöstra delar.",Svartabborre är en potent rovfisk och kommer med stor säkerhet att påverka såväl inhemska arter som den trofiska balansen om den skulle lyckas etablera sig.,yes,yes,"I dagsläget är risken för etablering mycket liten, men med ett varmare klimat ökar risken betydligt.",Limnisk,"Loppnow, G.L., Vascotto, K. & Venturelli, P.A. (2013). Invasive smallmouth bass (Micropterus dolomieu): History, impacts, and control. Management of Biological Invasions 4(3), 191–206.  http://dx.doi.org/10.3391/mbi.2013.4.3.02
Fisheries and Oceans Canada (DFO) (2011). Scientific Advice from a Risk Assessment of Smallmouth Bass (Micropterus dolomieu) in British Columbia (Science Advisory Report 2010/085). Canadian Science Advisory Secretariat.
Beck, M. (2008).  Feeding and Habitat Preferences of Non-Native Smallmouth Bass (Micropterus dolomieui) in Lakes Throughout British Columbia. [Examensarbete]. Victoria, Canada: University of Victoria. http://dspace.library.uvic.ca:8080/bitstream/handle/1828/4752/Beck_Martina_MSc_2013.pdf
Kirk, M.A., Maitland, B.M., Hickerson, B.T., Walters, A.W. & Rahel, F.J. (2022). Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass. Biological Invasions 24, 1311–1326.  https://doi.org/10.1007/s10530-021-02724-z"
